ID,الكلمة الحضرمية,الفصحى,الشرح الكامل
131,التبداه,تنفيس وتخفيف النبات لتنمو,عملية التنفيس بين الزراعة لتخفيف تزاحم النبات لأجل نمو النبات سريعاً.
132,تو,حالا - الآن مباشرة,وهي بمعنى حالا ،يقال):توك جِيت( ،ويقول الشاعر:
133,توك,على راحتك,تشهد لنا أقوالنا وأفعالنا** من قال شي في الحب تو يفعل أي على راحتك ،يقول الشاعر: توك رشِن في الخضر ** توك من هنا لما عرف.
134,التريك - الأتريك,فانوس ضغط الهواء والكيروسين,فانوس يعمل على ضغط الهواء والقاز معاً ،حيث يبخ القاز المضغوط في شمعة حريرية تسطع ضوءا. )نموذج من الأتريك(
135,التصريف,تقليم عذوق النخل لزيادة الثمر,وهي حالة إنقاص وقطع عدد من الاخيال قبل استوى الثمر ،بقصد التخفيف وزيادة حجم الثمر و إراحة النخلة.
136,تمر مدحق,عجينة التمر بعد نزع النوى,عجينة التمر بعد نزع النوى ،وقد لاينزع أحياناً حيث يبقى النوى ،وهرسه بالأرجل ،تكون عملية هرسه بواسطة اليد أو الرجل بعد تنظيفها وغسلها ، يتم اختياره من أنواع رديئة من التمر عادة وليس بالضرورة.
137,التجليد,تجليد الدار بالطين وبالرماد,تجليد الدار بالطين وبالرماد.
138,تفله,البصاق,وهي البصاق.
139,التنار :او التنور,يصنع من الطين المحروق الفخار,يصنع من الطين المحروق ) الفخار ( ،ويستخدم لعمل الخبز أو ما يسمى خبز التنار ،وهو خبز تختلف تشكيلاته وأنواعه ،ولأجل إشعال التنار لابد من وجود الحطب ويتم إشعال الحطب وهو بمثابة الشولة في التنانير الحديثة ،شكل التنار أسطواني ويأتي منفصلا او ملتصقا بجدار المطبخ ،وهناك تنانير حديثة والتي تتكون من الصفائح الحديديه والغاز ويسمى بتنار الغاز ،وأيضاً حديثاً أدخل في تنار الطين شولة الغاز حيث عمل لتنار الطين شبكه توزيع الغاز اسفل )نموذج من التنار( التنار الطيني .
140,التكية,المخدة الوسادة,هي المَخدة أو الوسادة .
141,تيحه,دولاب مبني داخل الجدار,وهو كبت أو دولاب يبنى داخل الغرف ،يكون في الجدار في الغرف المترلية لحفظ الأشياء والأدوات الخاصة.
142,التاوه,المقلاة,وهو الوعاء الذي يستعمل لقلي الصيد أو البيض ..الخ . )نموذج من التاوه(
143,تباتيك,أشياء للتزيين والتجميل,تقال موعة من الأشياء تقوم بعملية التزيين والتجميل ،فمثلاً يقال):الغرفة ملانه تباتيك( ،بمعنى إا ملئت بمجموعة من الأشياء جعلت منها شكل مختلف.
144,ثعل,الثعلب,الثعلب.
145,ثمد,سمك التونة,وهو من أفضل الأسماك المحببة عند الحضارم ،والمتاحة عند الجميع لكونه سمك يتلائم مع جميع الطبخات ،ولحمه لذيذ الطعم ،وخاصة كل ما كان لونه يميل إلى الاحمرار ،حيث يعد من أهم الأسماك التي تصدر إلى الخارج وخاصة إلى أوربا وأيضاً هو ما يعمل به معلبات التونة.
146,الثاره,المساحة بين البئر والحوض,المساحة الواقعة بين البئر والحوض .
147,الأجلح,المذنب الذي يظن الناس يتكلمون عنه,وهو المذنب ،والمثل القائل):الأجلح يستعني( ،أي إن المذنب يعتقد إن الناس ينظرون إليه ،وأن ما يدور من كلام بين القوم يعنيه.
148,الجعبه,الإلية أعلى الفخذ,الإلية عند الإنسان ،أعلى الفخذ ،وجمعها جِعاب والمثل القائل):أبرد من جعبة مستقيه( .
149,الجحي,الأرض,الأرض ،والمثل القائل):ما سقط من السماء يلتقيه الجحي(.
